veracity,claims
FALSE," Liberal, Labor and Greens plan to make Covid-19 vaccination mandatory."
FALSE,Says Gov. Tony Evers is “a big proponent of this defund the police movement.”
BLATANT-LIE, Event 201 is evidence that officials already knew about COVID-19
BLATANT-LIE,claims the Rothschild family owns 
MOSTLY-FALSE,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger’s, eugenicist design.”"
FALSE,"Canadian Govt Publish Data That ‘Suggests’ People Triple-Vaccinated For COVID-19 Get Sicker, Develop Vaccine-Associated Enhanced Disease"
FALSE,Nonprofit Operation Ukraine’s shipments of baby formula to Ukraine is responsible for shortage in the U.S.
BLATANT-LIE,"Abortion increases the risk of breast cancer, mental illness, and preterm labor."
FALSE,Bill Gates “has been investing heavily in synthetic soy breast milk” and is behind the baby formula shortage.
BLATANT-LIE, There is a 
MOSTLY-FALSE,"“David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.”"
FALSE,Three government officials enjoy priority landing and takeoff in the country’s airports.
FALSE,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”
TRUE,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”"
BLATANT-LIE, Monkeypox is biological warfare by governments.
BLATANT-LIE,Video shows Palestinians staging shooting of a child by Israeli soldiers
BLATANT-LIE,“American journalist” Jack Posobiec was “arrested at World Economic Forum.”
FALSE,Amendments to the International Health Regulations will give the World Health Organisation power to unilaterally impose lockdowns within member countries.
TRUE,"In a recent year, the Milwaukee Police Department “collected more guns per capita off the streets than in New York.”"
BLATANT-LIE,Dominion lost its lawsuits against Rudy Giuliani and Sidney Powell.
BLATANT-LIE,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”"
BLATANT-LIE,The amount of carbon dioxide in the air increased just .004 percent in 50 years
BLATANT-LIE,“Another Conspiracy Proven True!” referring to 2018 remarks by Pfizer CEO and claims about microchips in COVID-19 vaccines.
BLATANT-LIE, Monkeypox is linked to COVID-19 vaccines; a 2021 tabletop exercise portraying a monkeypox pandemic is evidence that global leaders planned the outbreak; the monkeypox vaccine was “ready” before the outbreak
MOSTLY-TRUE,"“90% of Americans, regardless of political party, want universal background checks.”"
MOSTLY-TRUE,The US has had 288 school shootings while other countries had 2 or less.
FALSE,“We know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.”
BLATANT-LIE,The vast majority of deaths during the Spanish flu pandemic in 1918-19 were due to bacterial infections caused by people wearing masks.
BLATANT-LIE,Says Gov. Greg Abbott offered the uncle of a Uvalde shooting victim money to say “we don’t need stronger gun laws.”
BLATANT-LIE,claims diesel is projected to reach $9 a gallon by August.
FALSE,“There hasn’t been a single of these mass shootings that have been purchased at a gun show or on the internet.”
MOSTLY-FALSE," “[Spike] is harmful to the human body in at least eight different ways [and] can persist in the human body for weeks, or even months, after a person gets vaccinated”"
FALSE,"“50% of the guns sold in Texas, because of the loopholes, do not pass through a background check.”"
BLATANT-LIE,"CNN is recycling crisis actors in reports about a man dying in Afghanistan in 2021 and at the Uvalde, Texas, school shooting in 2022."
BLATANT-LIE,Actor Morgan Freeman Said That Whiteness ‘Is A Disease’
FALSE,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”"
BLATANT-LIE,"purportedly shows a tweet from Republican Colorado Rep. Lauren Boebert that reads, “There is a Severe Thunderstorm Watch in NEW YORK CITY. Joe is even destroying the Blue States.”"
MOSTLY-TRUE,"“Most of these killers tend to be 18, 19 years old.”"
FALSE,Stacey Abrams “supported the MLB boycott.”
BLATANT-LIE,claims to show images of an oil well and a lithium mine and alleges that lithium mining is significantly worse for the environment than drilling for oil.
FALSE,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life."
FALSE, Apple cider vinegar and thermogenic supplements are effective for rapid weight loss
FALSE,Agriculture “is still the No. 1 sector of the economy” in Georgia.
BLATANT-LIE,Finland is moving military equipment to the eastern border with Russia
MOSTLY-FALSE,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”"
BLATANT-LIE, claims Republican Tennessee Sen. Marsha Blackburn “proposed a plan wherein birth control should only be legal for married couples.”
FALSE,"With $40 billion, Elon Musk could have given everyone in the U.S. $1 million"
BLATANT-LIE,Pfizer CEO Albert Bourla We Will Reduce The Number Of People By 50%
TRUE, Does Photo Show Kevin Spacey and Ghislaine Maxwell in Buckingham Palace?
FALSE,“Joe Biden’s Justice Department labeled parents ‘domestic terrorists.'”
BLATANT-LIE,claims 46 states have performed vote recounts that confirmed President Joe Biden lost the 2020 presidential election.
FALSE,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.
BLATANT-LIE,U.S. Department Of Defense Did Award A Contract For ‘COVID-19 Research’ In Ukraine 3 Months Before Virus Was Known To Exist.
FALSE, “California Democrats are trying to legalize killing children up to the age of 28 days.”
FALSE,"“I wish success for our heroic soldiers involved in this operation, which we are carrying out in close cooperation with the central Iraqi government and the regional administration.”"
FALSE," “There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes”"
BLATANT-LIE,Klaus Schwab Says ‘Internet Must Be Reformed’ For The ‘Great Reset’
BLATANT-LIE, claims to show a mass graveyard for Russian soldiers who were killed during the invasion of Ukraine.
FALSE, Government Proposed Taxing Unrealized Gains For Most Americans.
FALSE,Old Fauci clip about natural immunity applies to COVID-19 vaccines.
BLATANT-LIE,A supporter of Vice President Leni Robredo tweeted to say that they fired their helpers and drivers who are supporting rival candidate Bongbong Marcos
FALSE,"“The House voted to cap insulin prices to $35/month, just $420 each year! Richard Hudson voted NO.”"
BLATANT-LIE, “Remdesivir is proven to kill lives”
BLATANT-LIE,"According to the Census Bureau, “5 million more people voted than were registered to vote” in the 2020 election."
FALSE,UN Released Carbon Emissions Regulations Saying That Ships Will Have To Travel 30% Slower.
MOSTLY-TRUE,"“As compared to last year, Texas has about 15% more power generation capacity.”"
BLATANT-LIE," A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”"
MOSTLY-FALSE,The economy was “dead in the water when we got here. Virtually no jobs created.”
BLATANT-LIE, Fox News host 
BLATANT-LIE,“The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”
FALSE,By sucking the Strategic Oil Reserve dry we’ve lowered gas prices by $.014
MOSTLY-TRUE," In 2022, Tennessee Republicans supported a piece of legislation that would legalize child marriage."
BLATANT-LIE,"“[T]he photos and video footage from Bucha are yet another staged event by the Kiev regime for the Western media, as it was in Mariupol with the maternity hospital, as well as in other cities.”"
MOSTLY-FALSE,“Senate Republicans’ plan” would “end Social Security” and “end Medicare.”
BLATANT-LIE," Pfizer Documents Do Reveal Vaccinated Individuals Will Transfer COVID Shot To Unvaccinated Through Inhalation, Skin Contact"
BLATANT-LIE,"Lisa Murkowski, Susan Collins and Mitt Romney “are pro-pedophile.”"
FALSE,The FBI lost Hunter Biden’s laptop.
BLATANT-LIE,New Zealand Prime Minister Jacinda Ardern said that the country’s politics are less extreme than others’ because Rupert Murdoch was never allowed to set up a media outlet there.
BLATANT-LIE," Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”"
BLATANT-LIE," purportedly shows clips of audience members yelling, “F*** Joe Biden,” at President Joe Biden."
BLATANT-LIE,"“Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.”"
BLATANT-LIE, Triple Covid-19 vaccinated people will develop AIDS.
FALSE,"If Republicans ever repealed the Affordable Care Act, that would mean “100 million Americans with preexisting conditions can once again be denied health care coverage by their insurance companies.”"
BLATANT-LIE, Official data has confirmed 800 COVID-19 ‘vaccine deaths’ in Australia.
BLATANT-LIE,"“With the money Elon Musk spent to buy Twitter shares, he could have given every American family $100,000 and still had enough left over to cancel all student debt.”"
BLATANT-LIE,Tucker Carlson suggested photos of bodies in Ukraine could have been staged
MOSTLY-FALSE,“A secret backroom deal” gave “away hundreds of millions of tax dollars to a Soros-owned company.”
BLATANT-LIE, Claims to show Russian Foreign Minister Sergey Lavrov seated behind the desk in the Oval Office during former President Donald Trump’s term.
FALSE,Josh Mandel doctored an image in a campaign ad but “forgot to Photoshop the hands that clearly show he put his face on the body of a Black soldier.”
FALSE,Imperial College London’s REACT-LC study found catching Covid-19 in the colder winter months may be a factor in whether some people find their symptoms persisting.
FALSE,"“Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state’s veterans) Board despite having the authority to do (so).”"
BLATANT-LIE," George Soros is wanted in Russia, declared a ‘global terrorist’ in China."
FALSE,“Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.”
BLATANT-LIE,claims Ukraine is the first country to implement the World Economic Forum’s (WEF) “Great Reset” plan by creating a social credit system and instituting universal basic income (UBI).
FALSE,“John Fetterman’s a self-described democratic socialist.”
FALSE,Carrying Sri Lankan flag will prevent military from shooting at protesters.
TRUE,Only 2% of K-12 students would benefit from Iowa’s school voucher bill.
BLATANT-LIE,"“Sunscreens cause cancer, not the sun”; sunscreen and sunless tanning products contain cancer-causing ingredients"
BLATANT-LIE,purportedly shows a woman wearing a Nazi shirt while attending a rally for former President Donald Trump.
FALSE,"“…Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate"
MOSTLY-TRUE, No trees have been planted toward the coalition government’s 2018 target of one billion new trees by 2030.
MOSTLY-FALSE,"As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”"
BLATANT-LIE,Obamacare And Medical Coding Are Part Of A Global System Of Human Trafficking.
FALSE,“The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…”
FALSE, Photos show Sen. Marsha Blackburn flashing a “white power gesture” during a Senate hearing (or vote) on the confirmation of Ketanji Brown Jackson to the Supreme Court.
FALSE,New York City is “wasting taxpayer money on” billboards in Florida.
FALSE,Ukrainian citizens need to be vaccinated to receive government war payment
MOSTLY-FALSE,“70% of increased prices in March came from Putin’s price hike in gasoline
BLATANT-LIE,"allegedly shows a CNN chyron that reads, “Elon Musk could threaten free speech on Twitter by allowing people to speak freely.”"
FALSE,People protesting the Dakota Access pipeline “were intentionally poisoned” by government officials in North Dakota when a pilot “knowingly sprayed poisonous chemicals” over protesters’ camps.
BLATANT-LIE," A KKK billboard was put up in Johnson County, NC, for Donald Trump’s rally."
FALSE,Claims that “widespread illegal ballot harvesting” elected Georgia’s two Democratic U.S. senators.
FALSE,Ukraine is the money laundering and child sex trafficking “capital of the world”
FALSE,Suggests ivermectin is an effective treatment for COVID-19.
BLATANT-LIE,“Toothpaste is poisonous”; “fluoride is a neurotoxin” and doesn’t prevent tooth decay.
BLATANT-LIE,The COVID-19 vaccines contain “HIV lipid wrappers.”
BLATANT-LIE, COVID-19 IS not A Virus And Is Snake Venom Being Used To poison People and Turn Them Into Satanic Hybrids.
BLATANT-LIE,Gilbert Gottfried died from the COVID-19 vaccine.
FALSE,No child under the age of two is vaccinated in Japan.
FALSE,The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.
BLATANT-LIE, allegedly shows a statement released by former President Donald Trump that refers to former Vice President Mike Pence as a “dog.”
MOSTLY-TRUE,Mehmet Oz “called for a New Zealand-style gun ban” and said “Americans should have less access to guns.”
FALSE,"“The West demonstrates totalitarian intolerance towards alternative points of view. Democracy, liberalism, pluralism are not observed here. On the contrary, censorship and arbitrariness are intensifying.”"
MOSTLY-FALSE," “Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.”"
FALSE, Healthy People DO not Die From COVID-19.
MOSTLY-FALSE,“As your Lieutenant Governor…I cut your taxes.”
BLATANT-LIE,purportedly shows President Joe Biden and newly-confirmed Supreme Court Justice Ketanji Brown Jackson celebrating the ousting of Pakistani Prime Minister Imran Khan.
FALSE,McDonald’s added xylitol to its ice cream which is toxic to dogs.
FALSE,High Vaccination Rate does not Explain Why 92% Of English COVID Deaths Are Among Fully Vaccinated
FALSE,"The Biden Administration is engaging in extreme ‘woke’ politics by encouraging children to take chemical castration drugs and undergo surgeries, and they are lying to children by telling them puberty blockers are “reversible.”"
TRUE,The founder of Kwanzaa is a convicted felon who kidnapped and tortured two women.
BLATANT-LIE,Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh’s U.S. Supreme Court confirmation hearing.
BLATANT-LIE, purports to show a BBC News report alleging that Ukraine was responsible for a rocket attack that killed 50 Ukrainian civilians at a railway station.
BLATANT-LIE,The Brooklyn subway attack was a false flag.
FALSE,"There were 2,000 excess deaths in New Zealand while the vaccine was being rolled out."
FALSE, George Soros injected “$33 million” into Black Lives Matter.
BLATANT-LIE, Bill Gates said a cow emits more pollution than a car.
FALSE,Ukraine was responsible for the Kramatorsk train station bombing.
FALSE,An American Medical Association document confirms Pfizer’s COVID-19 vaccine ingredients and effects vary depending on their “batch”.
TRUE,The coalition government increased development aid for the Pacific region by 50 percent.
MOSTLY-TRUE,If Wisconsin Gov. Tony Evers “had passed his (gas) tax increases … fuel prices would be at least a dime higher.
BLATANT-LIE,Purportedly shows a news article claiming that Disney’s CEO admitted “going woke” was a “huge mistake.”
FALSE,“Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.
BLATANT-LIE,Putin Did End The Rothschild’s Control Over Russia By Nationalizing The Russian Central Bank
FALSE,"Dave McCormick is “liberal, pro-Biden, pro-China.”"
FALSE,No empire in history has existed for more than 250 years.
MOSTLY-TRUE,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia’s families at the pump.”"
FALSE,alleges Japan has the lowest infant mortality rate while the U.S. has the highest and suggests vaccines play a role in the difference.
FALSE, Social Security Payment Will Become A ‘Federal Benefit Payment’
BLATANT-LIE,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”"
FALSE,Before Obama we had no ISIS.
FALSE,New Zealand’s Digital Identity Trust Framework Bill allows government control over people’s banking.
MOSTLY-TRUE,“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”
BLATANT-LIE, Klaus Schwab says property ownership is unsustainable in WEF tweet
FALSE,Says he has “always” believed “in a woman’s right to choose.”
BLATANT-LIE, Google Maps has opened all military and strategic facilities in Russia they have become available in maximum resolution
FALSE, “turmeric prevents cancer.”
FALSE,There are more people in work than there were before the pandemic.
FALSE,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.
BLATANT-LIE,The World Health Organization receives 70 per cent of its funding from the pharmaceutical industry.
MOSTLY-FALSE,Mehmet Oz is “pro-abortion.”
BLATANT-LIE, Individuals Who Seek An Abortion in Ala. Are ‘Thrown In Prison For Life’
TRUE,"Due to U.S. Senate rules, Democrats need “more than a majority … to codify Roe vs. Wade.”"
FALSE,Australia’s longest-running weather station shows no pattern of warming since temperature records were first collected in 1862.
FALSE,Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”
BLATANT-LIE,"Vaccines Are Killing People Of Color At Twice The Rate Of White People, HHS Said"
BLATANT-LIE,"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”"
TRUE,a screenshot of a 
FALSE,"“1,464 Ukrainian servicemen laid down their arms and surrendered. They are not subjected to violence or psychological pressure.”"
FALSE,“The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.
BLATANT-LIE, Majorie Taylor Greene wore an earpiece during testimony.
MOSTLY-FALSE,"“After their massive tax giveaway to the superwealthy and giant corporations in 2017, congressional Republicans now want to raise taxes on middle class families”"
BLATANT-LIE,A video shows the Russian warship Moskva exploding.
FALSE, Kids Getting Hepatitis Related To JJ Vaccine Adenovirus Vector.
FALSE,The Chinese Communist Party owns and controls some of Australia’s most popular milk brands.
FALSE,“DeSantis erases Disney’s tax exempt law. Will cost Disney $200 Mil in taxes. Per year!”
BLATANT-LIE, Lyme Disease Was Invented In A Lab In 1975.
MOSTLY-TRUE,"In 2021, “11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.”"
BLATANT-LIE,"allegedly shows a headline from The Washington Post that reads, “China is forcing hundreds of millions of new trees to exist every year.”"
FALSE,My Pillow CEO Mike Lindell is back on Twitter after Elon Musk takeover.
FALSE, Scott Morrison did not propose that asylum seeker boards should be turned back during the lead-up to the 2013 election.
FALSE,“Republicans’ (Rick Scott) plan would make Social Security disappear.”
FALSE,Mehmet Oz “was a spokesman for a group who wanted to defund the police.”
TRUE,Joe Biden’s $33bn Ukraine plan worth half Russia’s military budget
FALSE,"That J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”"
BLATANT-LIE,"“HIV was an invention created by the West”, people “took the HIV medication and got HIV”, you can “reverse HIV naturally”"
FALSE,“Alkaline foods” can heal the body of cancer.
MOSTLY-FALSE,"The bipartisan infrastructure law “gives communities the money they need to get forever chemicals, PFAS off, out of the water. … [W]e’re going to get rid of it all.”"
MOSTLY-FALSE, It is more difficult and expensive to see a doctor in Australia than ever before.
BLATANT-LIE," “Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”"
BLATANT-LIE, Are child hepatitis cases linked to COVID-19 vaccines?
MOSTLY-TRUE, “The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.”
FALSE,"claims the state of Georgia found “over 1,600 instances of noncitizens voting in 2020.”"
TRUE,"Since taking office, Hochul has passed more than 400 new bills"
MOSTLY-FALSE,"On any given night in Australia, more than 100,000 people do not have a roof over their head."
FALSE,"Matt Dolan sponsored Michael Bloomberg’s “red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.”"
BLATANT-LIE,Donald Trump invited all the Great MAGA Patriots to BOYCOTT the midterm elections in November
FALSE,"Conservatives gained Twitter followers after the company announced its deal with Elon Musk because “Twitter lifted a broad anti-conservative, anti-Trump shadow ban.”"
FALSE, U.S. pharmaceutical company Pfizer requested to have its public shares delisted from the New York Stock Exchange (NYSE).
FALSE,“Kids are getting hepatitis. It’s being caused be an adenovirus. J&J had an adenovirus vector. Couldn’t possibly be related.”
FALSE,"“Thanks to President of the Russian Federation V.V. Putin’s initiative, 80 civilians, including women and children, held by the Ukrainian nationalists have been rescued from the territory of the Azovstal factory in Mariupol.”"
FALSE,Sen. Mark Kelly voted “for benefits to illegals.”
BLATANT-LIE,"claims five kids from Wichita, Kansas died from fentanyl-laced marijuana in a single day in April."
FALSE," “Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.”"
FALSE,"Certain medicines and compounds like folic acid “deplete folate, which is very serious for those with MTHFR”"
FALSE,"Under the Tories, families are £2,620 worse off."
MOSTLY-TRUE,"“… Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”"
BLATANT-LIE,Elon Musk suspended Bill Gates from Twitter.
FALSE,"There were “400,000 illegal votes” cast in the 2020 presidential election"
MOSTLY-FALSE,"“The student debt that is out there, almost 60% of it is graduate school debt.”"
MOSTLY-FALSE,"The number of first-home buyers in 2021 was nearly 70,000 higher than when Labor was in government."
TRUE, Overturning Roe v. Wade is unpopular with Americans.
BLATANT-LIE,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”
FALSE,Inhaled Microplastics Found in Lung Tissue—Are Face Masks Contributing to the Problem?
FALSE,“There are 63 million abortions a year in this country.”
MOSTLY-FALSE," “You know what happens to these individuals? They are either expelled under the Title 42 of the CDC, or they are placed into immigration enforcement proceedings. They make their claims under the law. If those claims don’t prevail, they are promptly removed from the United States…"
BLATANT-LIE,“Russia is the only country that delivers direct humanitarian aid to people … Sometimes Russian humanitarian caravans are bombed with weapons that NATO supplies to Ukraine.”
MOSTLY-TRUE,"“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”"
BLATANT-LIE,"“the CGG CGG coding […] does not appear in nature”, this and the furin cleavage site from the SARS-CoV-2 spike protein gene suggests the virus wasn’t transmitted from animals to humans"
FALSE,"“In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
TRUE,“New York leads the U.S. in population loss.”
BLATANT-LIE, “We categorically do not accept any war. We have done and are doing everything now so that there isn’t a war.”
TRUE,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it."
FALSE,The SARS-CoV-2 virus was engineered in a laboratory and deliberately released
BLATANT-LIE,President Joe Biden has “[s]topped abortion.”
FALSE,California introduces a bill that would allow mothers to kill their babies up to 7 days after birth
FALSE,"When there is “a noose on a college dorm of a Black student” or a racial slur “on a dormitory building, the odds are overwhelming that a Black student actually did that.”"
BLATANT-LIE,"Two days before the elections, the Department of Health will report a surge in COVID-19 cases and attribute it to Leni Robredo’s campaign rallies"
MOSTLY-FALSE,“Pfizer tries to hide 2.4K full-time hires handling vax injuries.”
BLATANT-LIE,claims North Atlantic Treaty Organization (NATO) forces attacked Russian soldiers heading toward the Ukrainian border.
BLATANT-LIE,A rash of “mysterious” fires at food-processing plants is “obviously suspicious and it could lead to serious food shortages.”
FALSE," mRNA COVID-19 vaccines accumulate in the ovaries, change menstrual cycles, and lead the immune system to mount “an immune response to their own placental protein”"
BLATANT-LIE,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.
FALSE,“Roe v. Wade happened because a woman lied about being raped by black men.”
FALSE,The corporate tax rate under Eisenhower was 90%
BLATANT-LIE,“Republicans DO NOT want to throw doctors” in jail.
BLATANT-LIE,claims Republican North Dakota Sen. Kevin Cramer stated that saving a fetus is worth losing the mother’s life.
FALSE,"“Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee”"
FALSE,"Algae ponds can capture all the carbon dioxide from coal-fired power stations, resulting in zero-emissions energy."
TRUE,"The state crime lab under Attorney General Josh Kaul “is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.”"
BLATANT-LIE,claims 438 illegal immigrants were removed from Walt Disney World by the Florida Department of Labor.
BLATANT-LIE,“GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”
